INDX,wave,group,id,keep,obs_filter,dir_const,travel,Block Group,duration,speed,driveduration,stopduration,Telephone,Texting,Smoking,Belt,Pass,Agman,Agpassenger,Agother,total,begin_time1,end_time1,begin_time2,end_time2,begin_time3,end_time3,begin_time4,end_time4,begin_time5,end_time5,begin_time6,end_time6,begin_time7,end_time7,begin_time8,end_time8,begin_time9,end_time9,begin_time10,end_time10,begin_time11,end_time11,begin_time12,end_time12,arrival_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,r1,r2,interviewer,startpoint,endpoint,starttime,endtime,travelcode,distance,direction
1,2nd wave - Non-anonimous,2nd wave - Treatment,1,1,Keep,Same direction or one trip only,Sachkhere-Tbilisi,Sachkhere,143,73.4883728,129,14,0,0,0,0,3,0,0,0,3,9/27/2016 11:02,9/27/2016 11:32,9/27/2016 11:32,9/27/2016 12:02,9/27/2016 12:02,9/27/2016 12:32,9/27/2016 12:32,9/27/2016 13:02,9/27/2016 13:02,9/27/2016 13:25,,,,,,,,,,,,,,,9/27/2016 13:25,1,1,0,0,0,1,0,1,0,4,4,1842,Sachkhere,Tbilisi,9/27/2016 11:02,9/27/2016 13:25,TBS-Sachkhere / Sachkhere--TBS,158,To Tbilisi
2,2nd wave - Non-anonimous,2nd wave - Treatment,2,1,Keep,Same direction or one trip only,Tbilisi-Akhaltsikhe,Akhaltsikhe,167,71.77914429,163,4,3,0,0,0,28,0,0,0,31,9/29/2016 11:14,9/29/2016 11:45,9/29/2016 11:45,9/29/2016 12:15,9/29/2016 12:15,9/29/2016 12:45,9/29/2016 12:45,9/29/2016 13:15,9/29/2016 13:15,9/29/2016 13:45,9/29/2016 13:45,9/29/2016 14:01,,,,,,,,,,,,,9/29/2016 14:01,1,0,0,1,1,1,0,1,0,4,4,1836,Tbilisi,Akhaltsikhe,9/29/2016 11:14,9/29/2016 14:01,TBS-Akhaltsikhe / Akhaltsikhe--TBS,195,From Tbilisi
3,1st wave - Anonimous,1st wave - Control,3,1,Keep,Different directions,Tbilisi-Dzegvi,Mtskheta,26,43.63636398,22,4,0,0,0,0,1,0,0,0,1,9/20/2016 9:12,9/20/2016 9:38,,,,,,,,,,,,,,,,,,,,,,,9/20/2016 9:39,1,0,0,0,0,1,0,0,0,4,4,1832,Tbilisi,Dzegvi,9/20/2016 9:12,9/20/2016 9:38,TBS-Dzegvi / Dzegvi--TBS,16,From Tbilisi
4,2nd wave - Non-anonimous,2nd wave - Treatment,4,1,Keep,Same direction or one trip only,Tbilisi-Gudauri,Zhinvali,118,53.09734344,113,5,0,0,0,4,0,0,0,0,4,9/28/2016 9:45,9/28/2016 10:15,9/28/2016 10:15,9/28/2016 10:45,9/28/2016 10:45,9/28/2016 11:15,9/28/2016 11:15,9/28/2016 11:43,,,,,,,,,,,,,,,,,9/28/2016 11:43,1,1,0,0,0,1,0,1,0,5,5,1842,Tbilisi,Gudauri,9/28/2016 9:45,9/28/2016 11:43,TBS-Gudauri / Gudauri--TBS,100,From Tbilisi
5,3rd wave - Anonimous,3rd wave - New or former control,5,1,Keep,Same direction or one trip only,Sachkhere-Tbilisi,Sachkhere,136,77.07317352,123,13,3,0,3,0,4,0,0,0,10,10/13/2016 17:00,10/13/2016 17:30,10/13/2016 17:30,10/13/2016 18:00,10/13/2016 18:00,10/13/2016 18:32,10/13/2016 18:32,10/13/2016 19:00,10/13/2016 19:00,10/13/2016 19:16,,,,,,,,,,,,,,,10/13/2016 19:16,1,-1,0,1,0,1,0,1,0,4,4,1839,Sachkhere,Tbilisi,10/13/2016 17:00,10/13/2016 19:16,TBS-Sachkhere / Sachkhere--TBS,158,To Tbilisi
6,2nd wave - Non-anonimous,2nd wave - Treatment,6,1,Keep,Same direction or one trip only,Zestaponi-Tbilisi,Zestaponi,136,79.41176605,136,0,2,0,0,0,0,0,0,0,2,9/27/2016 13:38,9/27/2016 14:08,9/27/2016 14:08,9/27/2016 14:38,9/27/2016 14:38,9/27/2016 15:08,9/27/2016 15:08,9/27/2016 15:38,9/27/2016 15:38,9/27/2016 15:54,,,,,,,,,,,,,,,9/27/2016 16:01,1,0,0,0,0,1,0,1,0,4,4,1810,Zestaponi,Tbilisi,9/27/2016 13:38,9/27/2016 15:54,TBS-Zestaponi / Zestaponi--TBS,180,To Tbilisi
7,2nd wave - Non-anonimous,2nd wave - Treatment,7,1,Keep,Same direction or one trip only,Tbilisi-Terjola,Zestaponi,164,77.19999695,150,14,0,0,0,0,1,0,0,0,1,9/29/2016 10:15,9/29/2016 10:45,9/29/2016 10:45,9/29/2016 11:15,9/29/2016 11:15,9/29/2016 11:45,9/29/2016 11:45,9/29/2016 12:14,9/29/2016 12:15,9/29/2016 12:45,9/29/2016 12:45,9/29/2016 12:59,,,,,,,,,,,,,9/29/2016 12:59,0,1,0,0,0,1,0,1,0,5,5,1841,Tbilisi,Terjola,9/29/2016 10:15,9/29/2016 12:59,TBS-Terjola / Terjola--TBS,193,From Tbilisi
8,3rd wave - Anonimous,3rd wave - New or former control,8,1,Keep,Same direction or one trip only,Chokhatauri-Tbilisi,Samtredia,257,70.08620453,232,25,8,0,8,4,29,10,0,2,61,10/18/2016 15:40,10/18/2016 16:10,10/18/2016 16:10,10/18/2016 16:40,10/18/2016 16:40,10/18/2016 17:10,10/18/2016 17:10,10/18/2016 17:40,10/18/2016 17:40,10/18/2016 18:10,10/18/2016 18:10,10/18/2016 18:40,10/18/2016 18:40,10/18/2016 19:10,10/18/2016 19:10,10/18/2016 19:40,10/18/2016 19:40,10/18/2016 19:57,,,,,,,10/18/2016 20:10,1,1,0,0,0,1,0,1,0,2,3,1841,Chokhatauri,Tbilisi,10/18/2016 15:40,10/18/2016 19:57,TBS-Chokhatauri / Chokhatauri--TBS,271,To Tbilisi
9,1st wave - Anonimous,1st wave - Control,9,1,Keep,Same direction or one trip only,Agara-Tbilisi,Gori,61,91.47541046,61,0,0,0,0,0,0,0,1,0,1,9/20/2016 15:20,9/20/2016 15:50,9/20/2016 15:50,9/20/2016 16:20,9/20/2016 16:20,9/20/2016 16:21,,,,,,,,,,,,,,,,,,,9/20/2016 16:21,1,1,0,0,0,1,0,1,0,5,5,1837,Agara,Tbilisi,9/20/2016 15:20,9/20/2016 16:21,TBS-Agara / Agara--TBS,93,To Tbilisi
10,1st wave - Anonimous,1st wave - Control,10,1,Keep,Different directions,Bakuriani-Tbilisi,Bakuriani,170,68.16326904,147,23,0,0,0,0,8,1,0,0,9,9/21/2016 13:33,9/21/2016 14:03,9/21/2016 14:03,9/21/2016 14:33,9/21/2016 14:33,9/21/2016 15:03,9/21/2016 15:03,9/21/2016 15:33,9/21/2016 15:33,9/21/2016 16:03,9/21/2016 16:03,9/21/2016 16:23,,,,,,,,,,,,,9/21/2016 16:23,0,-1,0,1,1,0,0,0,0,3,3,1833,Bakuriani,Tbilisi,9/21/2016 13:33,9/21/2016 16:23,TBS-Bakuriani / Bakuriani--TBS,167,To Tbilisi
11,1st wave - Anonimous,1st wave - Control,11,1,Keep,Same direction or one trip only,Borjomi-Tbilisi,Borjomi,99,88.16326904,98,1,2,0,2,4,2,0,0,0,10,9/21/2016 11:04,9/21/2016 11:34,9/21/2016 11:34,9/21/2016 12:04,9/21/2016 12:04,9/21/2016 12:34,9/21/2016 12:34,9/21/2016 12:43,,,,,,,,,,,,,,,,,9/21/2016 12:44,1,1,0,0,0,1,0,1,0,5,4,1805,Borjomi,Tbilisi,9/21/2016 11:04,9/21/2016 12:43,TBS-Borjomi / Borjomi--TBS,144,To Tbilisi
12,3rd wave - Anonimous,3rd wave - New or former control,12,1,Keep,Same direction or one trip only,Gudauri-Tbilisi,Zhinvali,110,60,100,10,3,0,0,0,3,1,0,0,7,10/11/2016 12:30,10/11/2016 13:00,10/11/2016 13:00,10/11/2016 13:30,10/11/2016 13:30,10/11/2016 14:00,10/11/2016 14:00,10/11/2016 14:20,,,,,,,,,,,,,,,,,10/11/2016 14:34,1,1,0,0,1,0,0,0,0,3,3,1819,Gudauri,Tbilisi,10/11/2016 12:30,10/11/2016 14:20,TBS-Gudauri / Gudauri--TBS,100,To Tbilisi
13,1st wave - Anonimous,1st wave - Control,13,1,Keep,Same direction or one trip only,Tbilisi-Choporti,Saguramo,24,72.5,24,0,2,0,0,1,0,0,0,0,3,9/20/2016 9:49,9/20/2016 10:13,,,,,,,,,,,,,,,,,,,,,,,9/20/2016 10:14,1,0,0,0,0,1,0,1,0,4,4,1810,Tbilisi,Choporti,9/20/2016 9:49,9/20/2016 10:13,TBS-Choporti / Choporti--TBS,29,From Tbilisi
15,1st wave - Anonimous,1st wave - Control,15,1,Keep,Same direction or one trip only,Tbilisi-Telavi,Telavi,136,33.52941132,136,0,2,0,0,0,0,0,0,0,2,9/20/2016 11:45,9/20/2016 12:15,9/20/2016 12:15,9/20/2016 12:45,9/20/2016 13:10,9/20/2016 13:15,9/20/2016 13:15,9/20/2016 13:45,9/20/2016 13:45,9/20/2016 14:01,,,,,,,,,,,,,,,9/20/2016 14:01,1,-1,0,0,0,1,0,1,0,5,5,1828,Tbilisi,Telavi,9/20/2016 11:45,9/20/2016 14:01,TBS-Telavi / Telavi--TBS,76,From Tbilisi
16,3rd wave - Anonimous,3rd wave - New or former control,16,1,Keep,Same direction or one trip only,Tbilisi-Chargali,Zhinvali,98,45.625,96,2,0,0,1,2,0,0,0,0,3,10/13/2016 11:18,10/13/2016 11:48,10/13/2016 11:48,10/13/2016 12:18,10/13/2016 12:18,10/13/2016 12:48,10/13/2016 12:48,10/13/2016 12:56,,,,,,,,,,,,,,,,,10/13/2016 12:59,1,1,0,0,0,1,0,1,0,4,4,1832,Tbilisi,Chargali,10/13/2016 11:18,10/13/2016 12:56,TBS-Chargali / Chargali--TBS,73,From Tbilisi
